DATE,HHMM,SEC,PTNUM,location (X) / m,location (Y) / m
20250717,1036,37386,14,0.656646587,6.82005792
20250717,1036,38451,15,1.597736905,6.291948
20250717,1036,39442,15,1.200022297,4.5910006
20250717,1036,40429,15,1.200022297,4.5910006
20250717,1036,41441,15,1.200022297,4.5910006
20250717,1036,42417,15,0.5,4.5619314
20250717,1036,43442,15,0.5,4.5619314
20250717,1036,44441,15,0.5,4.191387356
20250717,1036,45409,15,0.5,4.009873667
20250717,1036,46443,15,0.5,4.009873667
20250717,1036,47448,15,1.599071567,6.292430713
20250717,1036,48453,15,0.749675516,6.544905033
20250717,1036,49461,15,0.749675516,6.544905033
20250717,1036,50467,15,0.517425967,4.865300078
